Title,More Info,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,City,Neighborhood
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Agungi
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"5,500,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Osapa London
5 Bedroom Fully Detached Duplex,4 BEDROOM HOUSE FOR RENT,"9,000,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Other Lekki
4 Bedroom Apartment,4 BEDROOM HOUSE FOR RENT,"8,000,000/year",1,0,0,4 beds,5 baths,5 Toilets,Lekki,Lekki Phase 1
Fully Serviced 3 Bedroom Apartment With A Room Bq,3 BEDROOM HOUSE FOR RENT,"3,200,000/year",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Chevron
4 Bedroom Terrace House,4 BEDROOM HOUSE FOR RENT,"9,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Lekki Phase 1
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Chevron
1 Room And Parlor,1 BEDROOM FLAT / APARTMENT FOR RENT,"3,000,000/year",1,1,0,1 beds,1 baths,2 Toilets,Lekki,Lekki Phase 1
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikota
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"8,000,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Lekki Phase 1
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"78,000,000/day",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Osapa London
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"7,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikate
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Osapa London
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR RENT,"8,500,000/year",0,1,0,5 beds,0 baths,0 Toilets,Lekki,Osapa London
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",0,0,1,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Ologolo
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Ologolo
4 Bedroom Terraced Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,0,0,4 beds,5 baths,5 Toilets,Lekki,Ologolo
Serviced 2 Bedroom Terrace Duplex,2 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,1,0,2 beds,3 baths,3 Toilets,Lekki,Ikate
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"7,500,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Lekki Phase 1
4 Bedroom Luxury Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,0,0,4 beds,5 baths,5 Toilets,Lekki,Ikate
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,500,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikota
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"7,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Osapa London
Brand New 2 Bedroom Apartment,2 BEDROOM HOUSE FOR RENT,"3,000,000/year",1,1,0,2 beds,3 baths,3 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
2 Bedroom Apartment,2 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,2 beds,3 baths,3 Toilets,Lekki,Ikate
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Ikota
2 Bedroom Terrace Duplex,2 BEDROOM HOUSE FOR RENT,"3,000,000/year",1,1,0,2 beds,3 baths,3 Toilets,Lekki,Chevron
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Other Lekki
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Osapa London
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"7,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
3 Bedroom Apartment,3 BEDROOM HOUSE FOR RENT,"3,000,000/year",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Ologolo
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,500,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Osapa London
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikota
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Ologolo
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"13,000,000/year",1,0,0,4 beds,5 baths,5 Toilets,Lekki,Other Lekki
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,500,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikota
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikota
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR RENT,"7,500,000/year",1,1,0,5 beds,6 baths,6 Toilets,Lekki,Chevron
3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",0,1,0,3 beds,4 baths,4 Toilets,Lekki,Ikota
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,500,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Osapa London
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
3 Bedroom Apartment,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Osapa London
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR RENT,"10,000,000/year",1,0,1,5 beds,6 baths,6 Toilets,Lekki,Ikate
3 Bedroom Terrace House,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Chevron
4 Bedroom Terrace House,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,0,0,4 beds,5 baths,5 Toilets,Lekki,Ikate
3 Bedroom Maisonette,3 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Ikate
4 Bedroom Terrace House,4 BEDROOM HOUSE FOR RENT,"4,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
3 Bedroom Apartment,3 BEDROOM HOUSE FOR RENT,"12,000,000/year",1,1,0,3 beds,4 baths,4 Toilets,Lekki,Lekki Phase 1
Brand New 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,500,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikota
5 Bedroom Fully Detached Duplex,5 BEDROOM HOUSE FOR RENT,"7,000,000/year",0,1,0,5 beds,6 baths,6 Toilets,Lekki,Chevron
5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,"20,000,000/year",1,1,0,5 beds,6 baths,6 Toilets,Lekki,Osapa London
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"6,500,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"7,000,000/year",1,1,0,4 beds,5 baths,5 Toilets,Lekki,Lekki Phase 1
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR RENT,"8,000,000/year",0,1,0,4 beds,5 baths,5 Toilets,Lekki,Ikate
